,Neighborhood,Longitude,Latitude
0,Charlottenburg,13.3144178392181,52.509784698486
1,Charlottenburg-Nord,13.2961015701217,52.530445098886
2,Grunewald,13.2658042907217,52.4833831787859
3,Halensee,13.2956886292178,52.495975494386
4,Schmargendorf,13.2900476455217,52.4757957458597
5,Westend,13.2598075862172,52.5161972048604
6,Wilmersdorf,13.3203697204218,52.4829826354859
7,Friedrichshain,13.445509910522,52.512725830086
8,Kreuzberg,13.3949632644219,52.493450164786
9,Alt-Hohenschönhausen,13.5082178115221,52.548442840586
10,Falkenberg,13.5454902648221,52.5678672790861
11,Fennpfuhl,13.469067573522,52.531280517586
12,Friedrichsfelde,13.5114536282213,52.505550384586
13,Karlshorst,13.5319948196221,52.4840469360859
14,Lichtenberg,13.4983072280221,52.514556884786
15,Malchow,13.483261108322,52.5829277038861
16,Neu-Hohenschönhausen,13.5150251388221,52.5672950744861
17,Rummelsburg,13.4929351806221,52.500953674386
18,Wartenberg,13.5180253982221,52.5748672485861
19,Biesdorf,13.5531558990222,52.508995056186
20,Hellersdorf,13.6088390350222,52.532852172886
21,Kaulsdorf,13.5893020629222,52.516605377186
22,Mahlsdorf,13.6136283874223,52.509651184086
23,Marzahn,13.5729579925222,52.550746917786
24,Gesundbrunnen,13.3839292526219,52.5549278259861
25,Hansaviertel,13.3379850387218,52.513786315986
26,Mitte,13.366999626219,52.516998291086
27,Moabit,13.3392820358218,52.525634765686
28,Tiergarten,13.3586025238218,52.509899139486
29,Wedding,13.3652534484218,52.543014526386
30,Britz,13.434184074422,52.4444122314859
31,Buckow,13.435532569822,52.4248237609858
32,Gropiusstadt,13.465502738922,52.4286613464858
33,Neukölln,13.449999809222,52.4830017089859
34,Rudow,13.483478546122,52.4259033203858
35,Blankenburg,13.4533061982204,52.5933151245861
36,Blankenfelde,13.3902463912219,52.6184883117862
37,Buch,13.4973297119221,52.6342811584862
38,Heinersdorf,13.437617301922,52.5717735290861
39,Karow,13.481223106322,52.6093101501861
40,Niederschönhausen,13.4026441572195,52.5855026245861
41,Pankow,13.4032354354219,52.5695953369861
42,Prenzlauer Berg,13.4232139582199,52.551139831586
43,Rosenthal,13.3783435821219,52.6003799438861
44,Malchow,13.483261108322,52.5829277038861
45,Weißensee,13.469113349922,52.5550575256861
46,Wilhelmsruh,13.3681316375219,52.5872764588615
47,Borsigwalde,13.3095331192218,52.5838928222861
48,Frohnau,13.2912015914217,52.6328926086862
49,Heiligensee,13.2449617385217,52.6144142150862
50,Hermsdorf,13.3128871917218,52.6224136352862
51,Konradshöhe,13.2271404266216,52.5845603942861
52,Lübars,13.3546009063218,52.6181068420862
53,Reinickendorf,13.3453941345218,52.5740928648613
54,Tegel,13.2931280136217,52.5757522583861
55,Waidmannslust,13.3237886428218,52.6078910827861
56,Wittenau,13.3206186294218,52.5938072204861
57,Gatow,13.1828651428215,52.4832725528598
58,Hakenfelde,13.208286282164,52.5590972900861
59,Haselhorst,13.2397708892216,52.542903900186
60,Kladow,13.1443195343215,52.4542884826859
61,Siemensstadt,13.2629318232172,52.540592193686
62,Spandau,13.1816892622159,52.534072875986
63,Staaken,13.1416206359215,52.5325889588606
64,Wilhelmstadt,13.1761837005215,52.525653839186
65,Dahlem,13.2897424697217,52.4580650329859
66,Lankwitz,13.3458404541218,52.4362258911859
67,Lichterfelde,13.3073005676218,52.4332847595859
68,Nikolassee,13.1978902816216,52.4350471496859
69,Steglitz,13.3307867050218,52.4526481628859
70,Wannsee,13.1615762710215,52.4198684692858
71,Zehlendorf,13.2578592300217,52.4410705566859
72,Friedenau,13.3282833099218,52.4712104797859
73,Lichtenrade,13.4067211151219,52.3985137939858
74,Mariendorf,13.3804063721922,52.4379196166859
75,Marienfelde,13.3678226470219,52.4190101623858
76,Schöneberg,13.3571748733218,52.4868812561859
