,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Rüan Thai Restaurant,52.5868722099593,13.283095414756497,Thai Restaurant
1,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,SuperFit,52.58523634989401,13.28566805320884,Gym / Fitness Center
2,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Hax'nhaus,52.58979,13.2822099,German Restaurant
3,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Cafe Wetterstein,52.589049,13.279866,Café
4,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Creme de la Creme - Florida Eis,52.588646,13.278311,Ice Cream Shop
5,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Greenwichpromenade,52.58804517362675,13.273844718933105,Waterfront
6,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Bergmann Pizza,52.58936339172051,13.281678640087993,Pizza Place
7,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Hallen am Borsigturm,52.585117567972276,13.286484732480998,Shopping Mall
8,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Bowl Play,52.58513751799159,13.285574981771841,Bowling Alley
9,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,SeeGarten,52.584961949938595,13.275872468948364,Beer Garden
10,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Blaue Lagune,52.58850611059344,13.278330353766888,Mediterranean Restaurant
11,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Sexy Secret Berlin,52.58992368293288,13.286660696675327,Adult Boutique
12,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Aarju,52.58667584992914,13.28266869706722,Indian Restaurant
13,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Florida Eiscafé,52.58938369840053,13.281575811432175,Ice Cream Shop
14,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Donna Francesca,52.588995,13.280823,Restaurant
15,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,DADU,52.58940094117387,13.282143473625181,Japanese Restaurant
16,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Falafel Moudi,52.58778168799675,13.285322216805165,Falafel Restaurant
17,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,SUBWAY,52.584668365372806,13.286185204989124,Sandwich Place
18,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,zara,52.584218,13.285916,Clothing Store
19,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Konditorei Röttgen,52.58932650638991,13.283876824507262,Café
20,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Pianoforte,52.587143,13.285779,Italian Restaurant
21,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,dm-drogerie markt,52.5897319,13.2849612,Drugstore
22,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,ANIMOR Restaurant Cafe Pizzeria,52.58523103832878,13.285583271480894,Italian Restaurant
23,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,dm-drogerie markt,52.58599637037036,13.28667100000007,Drugstore
24,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Darjiling,52.58868571364056,13.279117108639719,Indian Restaurant
25,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Markthalle Tegel,52.59001854441137,13.286172389818491,Market
26,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Fisherman's,52.585219,13.276782,Seafood Restaurant
27,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Best Western Hotel am Borsigturm,52.583459370149036,13.287336230278015,Hotel
28,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Telekom Shop,52.590077179740945,13.285174369812012,Mobile Phone Shop
29,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,REWE,52.58321772611767,13.291559585377968,Supermarket
30,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,TK Maxx,52.58356041292171,13.286569118499756,Clothing Store
31,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,H&M,52.58504,13.286857,Clothing Store
32,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Tegeler See Terrassen,52.588963356573316,13.274575629718312,Lounge
33,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Laventes Grill,52.58668503732674,13.282781830684184,Restaurant
34,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Mal Sehn,52.58936803248678,13.280969538041388,Bar
35,Charlottenburg-Wilmersdorf,52.586016,13.282999992321699,Rossmann,52.5907566667782,13.2831573486328,Drugstore
